saat,gun_tipi,sicaklik,yagis,gorus_mesafesi,trafik_yogunlugu,hiz_limiti,ortalama_hiz,kavsak_yogunlugu,yol_tipi,zemin_durumu,isiklandirma,is_cikisi_saati,risk_score,kaza,suggestions
14,hafta_ici,4.2,yok,906,8,90,54.5,4,kirsal,islak,yeterli,0,0.486,0,"saglam_sabit_hareket,serit_degisiminden_kacin;takip_mesafesini_artir"
14,hafta_sonu,3.4,yok,757,7,70,30.9,7,sehir_ici,islak,yeterli,0,0.6346,1,takip_mesafesini_artir
18,hafta_ici,12.0,yok,1025,9,90,26.9,9,sehir_ici,kuru,yeterli,1,0.46,1,"saglam_sabit_hareket,serit_degisiminden_kacin;kavsakta_dikkat"
11,hafta_ici,26.0,yok,819,10,90,23.1,9,sehir_ici,islak,yeterli,0,0.6816,1,"saglam_sabit_hareket,serit_degisiminden_kacin;takip_mesafesini_artir;kavsakta_dikkat"
22,hafta_ici,4.7,yok,650,1,70,42.4,3,sehir_ici,kuru,yeterli,0,0.3782,0,farlari_ac
19,hafta_ici,26.1,yok,1178,9,110,40.7,1,sehir_ici,kuru,yeterli,1,0.2207,0,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac"
2,hafta_ici,15.4,siddetli,297,7,90,37.6,9,sehir_ici,kuru,yeterli,0,0.9581,0,hizini_azalt;sis_farlarini_ac;farlari_ac;kavsakta_dikkat
4,hafta_ici,3.9,hafif,800,1,70,51.2,8,sehir_ici,kuru,yeterli,0,0.5148,0,farlari_ac;kavsakta_dikkat
18,hafta_sonu,-2.5,hafif,415,1,70,50.7,7,sehir_ici,kuru,yeterli,1,0.8584,1,normal_surec
6,hafta_sonu,-0.3,yok,855,5,110,53.0,6,sehir_ici,kuru,yeterli,0,0.3524,1,normal_surec
20,hafta_ici,8.3,yok,1069,8,110,51.6,10,otoyol,kuru,yetersiz,0,0.5306,0,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac;kavsakta_dikkat"
8,hafta_sonu,13.3,yok,849,9,70,20.6,7,sehir_ici,islak,yeterli,0,0.6016,1,"saglam_sabit_hareket,serit_degisiminden_kacin;takip_mesafesini_artir"
6,hafta_ici,28.5,hafif,702,6,30,16.4,9,sehir_ici,kuru,yeterli,0,0.7271,1,kavsakta_dikkat
17,hafta_ici,23.0,yok,1149,10,110,30.4,6,sehir_ici,buzlu,yetersiz,1,0.8194,1,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac;takip_mesafesini_artir"
3,hafta_ici,6.6,yok,1143,8,90,24.8,10,sehir_ici,islak,yetersiz,0,0.5888,1,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac;takip_mesafesini_artir;kavsakta_dikkat"
13,resmi_tatil,19.1,hafif,862,6,50,26.5,3,kirsal,kuru,yeterli,0,0.4951,0,normal_surec
17,hafta_ici,31.5,yok,1193,6,90,40.7,3,sehir_ici,kuru,yeterli,1,0.1856,0,normal_surec
8,hafta_ici,33.7,yok,1046,4,90,50.2,4,sehir_ici,kuru,yetersiz,0,0.3466,1,farlari_ac
20,hafta_ici,11.9,siddetli,235,5,110,59.0,10,sehir_ici,islak,yeterli,0,0.9773,1,hizini_azalt;sis_farlarini_ac;farlari_ac;takip_mesafesini_artir;kavsakta_dikkat
1,hafta_ici,24.6,hafif,577,2,70,45.9,10,sehir_ici,kuru,yeterli,0,0.7481,1,farlari_ac;kavsakta_dikkat
19,hafta_ici,28.9,yok,680,3,90,52.8,8,sehir_ici,kuru,yeterli,1,0.6004,1,farlari_ac;kavsakta_dikkat
14,hafta_ici,-0.1,siddetli,117,3,50,28.3,10,sehir_ici,islak,yeterli,0,0.9815,1,hizini_azalt;sis_farlarini_ac;takip_mesafesini_artir;kavsakta_dikkat
6,hafta_ici,9.9,yok,1139,5,120,84.6,9,otoyol,kuru,yeterli,0,0.2033,0,kavsakta_dikkat
11,hafta_ici,37.2,hafif,820,5,110,78.7,8,kirsal,kuru,yeterli,0,0.6016,1,kavsakta_dikkat
7,hafta_ici,12.0,yok,900,6,110,49.7,10,sehir_ici,kuru,yeterli,0,0.4056,1,kavsakta_dikkat
14,hafta_ici,-14.3,yok,1476,5,90,57.3,2,kirsal,islak,yeterli,0,0.073,0,takip_mesafesini_artir
2,hafta_ici,13.8,yok,947,6,70,43.8,4,otoyol,islak,yeterli,0,0.3985,1,farlari_ac;takip_mesafesini_artir
13,hafta_ici,26.2,hafif,248,8,120,41.6,4,sehir_ici,kuru,yeterli,0,0.9182,1,"sis_farlarini_ac;saglam_sabit_hareket,serit_degisiminden_kacin"
16,hafta_ici,15.1,yok,1275,2,50,45.8,2,otoyol,kuru,yeterli,0,0.0672,0,hizini_dusur
3,hafta_ici,22.2,yok,856,4,110,69.0,8,sehir_ici,islak,yeterli,0,0.4959,1,farlari_ac;takip_mesafesini_artir;kavsakta_dikkat
17,hafta_ici,24.4,yok,1302,6,70,25.9,3,sehir_ici,islak,yeterli,1,0.2063,0,takip_mesafesini_artir
7,resmi_tatil,11.5,hafif,370,5,70,41.7,2,sehir_ici,islak,yeterli,0,0.8909,1,takip_mesafesini_artir
3,hafta_ici,9.8,yok,1123,1,90,65.3,7,sehir_ici,kuru,yeterli,0,0.133,0,farlari_ac
1,hafta_ici,16.5,yok,759,9,110,41.4,1,sehir_ici,islak,yeterli,0,0.5793,1,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac;takip_mesafesini_artir"
5,hafta_ici,16.8,yok,1060,3,110,64.6,6,sehir_ici,kuru,yeterli,0,0.1776,0,farlari_ac
21,hafta_ici,15.5,yok,1229,2,90,51.6,3,sehir_ici,kuru,yeterli,0,0.0789,0,farlari_ac
9,hafta_ici,16.0,yok,1160,9,70,23.8,3,sehir_ici,kuru,yeterli,0,0.1816,0,"saglam_sabit_hareket,serit_degisiminden_kacin"
3,hafta_ici,7.5,yok,1020,7,120,57.4,5,sehir_ici,kuru,yeterli,0,0.2585,0,farlari_ac
21,hafta_ici,22.5,yok,586,5,70,30.6,3,sehir_ici,islak,yeterli,0,0.6596,0,farlari_ac;takip_mesafesini_artir
17,hafta_ici,21.0,yok,1219,6,110,65.1,4,kirsal,kuru,yeterli,1,0.1862,0,normal_surec
11,hafta_sonu,1.6,hafif,785,4,90,53.3,3,sehir_ici,islak,yeterli,0,0.6425,0,takip_mesafesini_artir
1,hafta_sonu,11.1,yok,687,1,70,63.9,7,kirsal,kuru,yeterli,0,0.4281,0,farlari_ac;hizini_dusur
9,hafta_ici,15.9,yok,731,4,30,31.1,3,otoyol,kuru,yeterli,0,0.4041,0,hizini_dusur
3,hafta_ici,9.7,siddetli,330,9,70,26.1,10,sehir_ici,kuru,yeterli,0,0.964,1,"hizini_azalt;saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac;kavsakta_dikkat"
13,hafta_sonu,21.4,yok,937,1,70,62.9,4,otoyol,kuru,yeterli,0,0.1985,0,normal_surec
15,hafta_ici,14.3,siddetli,184,10,50,16.2,2,otoyol,kuru,yeterli,0,0.9656,1,"hizini_azalt;sis_farlarini_ac;saglam_sabit_hareket,serit_degisiminden_kacin"
14,hafta_ici,16.7,yok,1081,3,50,27.7,2,sehir_ici,kuru,yeterli,0,0.1303,1,normal_surec
7,resmi_tatil,11.0,yok,808,5,70,48.6,9,kirsal,kuru,yeterli,0,0.4527,0,kavsakta_dikkat
13,hafta_ici,-4.9,yok,1048,7,90,39.3,1,sehir_ici,kuru,yetersiz,0,0.3645,0,farlari_ac
22,hafta_ici,-5.5,siddetli,219,9,110,49.9,1,kirsal,islak,yeterli,0,0.9732,1,"hizini_azalt;sis_farlarini_ac;saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac;takip_mesafesini_artir"
7,resmi_tatil,20.9,yok,901,6,50,17.7,10,sehir_ici,kuru,yeterli,0,0.4005,0,kavsakta_dikkat
20,hafta_ici,17.7,yok,1333,3,70,62.1,1,otoyol,kuru,yeterli,0,0.0569,0,farlari_ac
15,hafta_ici,19.4,siddetli,64,7,70,27.9,3,sehir_ici,kuru,yeterli,0,0.9715,1,hizini_azalt;sis_farlarini_ac
12,hafta_ici,16.3,yok,1166,4,90,45.8,2,sehir_ici,karlı,yeterli,0,0.2293,0,takip_mesafesini_artir
17,hafta_sonu,17.1,yok,1283,3,110,88.3,3,otoyol,kuru,yetersiz,1,0.2374,0,farlari_ac
14,hafta_sonu,24.7,yok,813,7,90,56.4,5,kirsal,kuru,yeterli,0,0.4279,1,normal_surec
20,hafta_sonu,19.4,hafif,768,7,110,47.2,9,sehir_ici,islak,yeterli,0,0.7966,1,farlari_ac;takip_mesafesini_artir;kavsakta_dikkat
23,hafta_ici,25.4,yok,712,4,90,69.8,2,kirsal,kuru,yeterli,0,0.3921,1,farlari_ac
12,hafta_sonu,16.7,yok,802,7,90,32.0,1,sehir_ici,kuru,yeterli,0,0.3579,1,normal_surec
8,hafta_sonu,12.0,yok,767,2,70,46.4,6,sehir_ici,buzlu,yeterli,0,0.6795,1,takip_mesafesini_artir
14,hafta_ici,16.9,yok,1285,1,110,82.0,3,sehir_ici,kuru,yeterli,0,0.0611,0,normal_surec
12,hafta_sonu,6.6,siddetli,119,2,120,69.4,7,sehir_ici,kuru,yetersiz,0,0.9821,1,hizini_azalt;sis_farlarini_ac;farlari_ac
0,hafta_sonu,11.2,hafif,895,4,90,48.5,6,sehir_ici,kuru,yeterli,0,0.4662,1,farlari_ac
6,hafta_ici,16.8,hafif,545,8,110,58.8,7,kirsal,islak,yeterli,0,0.8949,1,"saglam_sabit_hareket,serit_degisiminden_kacin;takip_mesafesini_artir"
8,hafta_ici,16.6,hafif,710,3,50,42.0,5,kirsal,kuru,yeterli,0,0.5984,0,normal_surec
23,hafta_ici,13.9,yok,1158,10,120,40.5,1,otoyol,kuru,yeterli,0,0.1773,0,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac"
0,hafta_ici,1.1,yok,1045,6,50,33.7,3,otoyol,kuru,yeterli,0,0.2047,0,farlari_ac
11,hafta_ici,21.4,hafif,491,6,70,26.8,3,sehir_ici,islak,yeterli,0,0.8592,1,takip_mesafesini_artir
7,hafta_ici,23.3,yok,1372,9,50,12.0,7,sehir_ici,kuru,yeterli,0,0.1199,0,"saglam_sabit_hareket,serit_degisiminden_kacin"
23,hafta_sonu,31.4,yok,845,9,120,35.4,3,sehir_ici,kuru,yetersiz,0,0.6219,1,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac"
10,resmi_tatil,19.4,hafif,468,4,110,91.3,5,otoyol,kuru,yeterli,0,0.7966,1,normal_surec
18,hafta_sonu,15.0,yok,1263,9,120,30.9,4,sehir_ici,kuru,yeterli,1,0.2025,1,"saglam_sabit_hareket,serit_degisiminden_kacin"
16,hafta_ici,4.9,hafif,626,6,110,43.4,4,sehir_ici,islak,yeterli,0,0.8024,1,takip_mesafesini_artir
7,hafta_ici,29.9,yok,1407,2,90,60.2,7,sehir_ici,kuru,yeterli,0,0.0579,0,normal_surec
2,hafta_ici,17.5,yok,981,10,120,34.1,1,sehir_ici,islak,yetersiz,0,0.6248,1,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac;takip_mesafesini_artir"
2,hafta_ici,16.9,yok,804,6,120,53.7,7,sehir_ici,kuru,yetersiz,0,0.6536,0,farlari_ac
0,hafta_sonu,12.5,yok,1082,2,90,79.9,8,otoyol,islak,yeterli,0,0.2713,1,farlari_ac;takip_mesafesini_artir;kavsakta_dikkat
4,hafta_sonu,11.8,hafif,519,8,50,13.3,3,sehir_ici,kuru,yeterli,0,0.7971,1,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac"
9,hafta_ici,21.9,yok,813,4,90,68.9,3,kirsal,kuru,yetersiz,0,0.5402,0,farlari_ac
6,hafta_sonu,4.8,yok,1249,5,120,62.6,4,sehir_ici,karlı,yeterli,0,0.2216,0,takip_mesafesini_artir
8,hafta_sonu,31.3,yok,1549,8,110,47.1,6,sehir_ici,buzlu,yeterli,0,0.1926,0,"saglam_sabit_hareket,serit_degisiminden_kacin;takip_mesafesini_artir"
6,hafta_ici,29.1,yok,926,8,110,50.6,7,sehir_ici,kuru,yeterli,0,0.3838,1,"saglam_sabit_hareket,serit_degisiminden_kacin"
8,hafta_sonu,11.5,yok,707,6,120,54.7,1,sehir_ici,kuru,yeterli,0,0.417,0,normal_surec
7,hafta_ici,6.4,siddetli,238,4,110,55.2,4,sehir_ici,kuru,yeterli,0,0.9357,1,hizini_azalt;sis_farlarini_ac
11,hafta_ici,-5.2,yok,1154,1,110,78.9,7,sehir_ici,islak,yeterli,0,0.1896,0,takip_mesafesini_artir
1,hafta_ici,2.5,hafif,646,7,110,62.0,2,otoyol,kuru,yeterli,0,0.688,1,farlari_ac
0,hafta_ici,22.3,hafif,814,8,70,34.6,1,kirsal,kuru,yeterli,0,0.5538,0,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac"
15,hafta_ici,18.2,yok,1199,9,90,31.8,1,otoyol,kuru,yeterli,0,0.1438,0,"saglam_sabit_hareket,serit_degisiminden_kacin"
22,hafta_ici,19.9,yok,668,2,90,80.3,10,kirsal,karlı,yeterli,0,0.728,1,farlari_ac;takip_mesafesini_artir;kavsakta_dikkat
22,hafta_ici,-3.5,hafif,511,1,110,106.6,6,kirsal,kuru,yeterli,0,0.7286,1,farlari_ac;hizini_dusur
23,hafta_ici,11.0,yok,585,4,90,55.4,5,sehir_ici,kuru,yeterli,0,0.5495,1,farlari_ac
4,hafta_ici,28.7,yok,1343,5,50,32.3,1,otoyol,kuru,yetersiz,0,0.144,1,farlari_ac
2,hafta_ici,14.0,yok,402,10,30,5.0,10,sehir_ici,kuru,yeterli,0,0.8541,1,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac;kavsakta_dikkat"
11,hafta_ici,2.3,siddetli,153,1,90,60.4,3,sehir_ici,kuru,yetersiz,0,0.9709,1,hizini_azalt;sis_farlarini_ac;farlari_ac
7,hafta_ici,13.9,hafif,507,5,90,67.4,7,kirsal,islak,yeterli,0,0.8803,1,takip_mesafesini_artir
21,hafta_ici,7.3,hafif,701,6,70,39.6,9,sehir_ici,islak,yeterli,0,0.8207,0,farlari_ac;takip_mesafesini_artir;kavsakta_dikkat
2,hafta_ici,18.3,yok,843,3,50,35.9,9,sehir_ici,kuru,yeterli,0,0.372,0,farlari_ac;kavsakta_dikkat
0,hafta_ici,15.2,yok,890,7,90,41.0,6,sehir_ici,islak,yeterli,0,0.5025,1,farlari_ac;takip_mesafesini_artir
2,hafta_ici,20.4,yok,896,6,50,31.5,3,kirsal,kuru,yetersiz,0,0.5138,0,farlari_ac
4,hafta_sonu,2.8,yok,1051,4,70,39.8,1,sehir_ici,kuru,yeterli,0,0.1476,0,farlari_ac
14,hafta_ici,10.5,yok,633,3,70,59.0,3,kirsal,buzlu,yeterli,0,0.7602,0,takip_mesafesini_artir
13,hafta_ici,25.9,siddetli,178,5,90,44.9,10,sehir_ici,kuru,yeterli,0,0.9685,1,hizini_azalt;sis_farlarini_ac;kavsakta_dikkat
2,resmi_tatil,1.5,hafif,902,3,90,59.0,2,sehir_ici,kuru,yetersiz,0,0.5888,0,farlari_ac
0,hafta_sonu,5.0,yok,1120,10,70,11.3,5,sehir_ici,buzlu,yeterli,0,0.5471,1,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac;takip_mesafesini_artir"
4,hafta_sonu,17.0,yok,1228,9,110,28.6,8,sehir_ici,kuru,yeterli,0,0.1969,0,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac;kavsakta_dikkat"
22,hafta_sonu,17.9,yok,1017,9,70,14.6,5,sehir_ici,islak,yeterli,0,0.4149,1,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac;takip_mesafesini_artir"
13,hafta_ici,10.1,yok,957,6,70,28.7,1,sehir_ici,karlı,yeterli,0,0.415,1,takip_mesafesini_artir
6,hafta_ici,12.2,hafif,682,6,50,30.1,3,sehir_ici,kuru,yeterli,0,0.6534,0,normal_surec
8,hafta_ici,20.3,hafif,730,4,70,33.3,5,sehir_ici,kuru,yeterli,0,0.5913,1,normal_surec
14,hafta_ici,23.5,yok,1253,4,50,22.2,7,sehir_ici,kuru,yeterli,0,0.1123,0,normal_surec
14,hafta_ici,4.3,yok,962,2,30,15.5,5,sehir_ici,kuru,yeterli,0,0.2019,0,normal_surec
9,hafta_ici,18.6,yok,1286,10,90,30.7,10,sehir_ici,kuru,yetersiz,0,0.3872,1,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac;kavsakta_dikkat"
12,hafta_ici,30.1,yok,260,4,90,75.6,5,otoyol,islak,yeterli,0,0.8732,1,sis_farlarini_ac;takip_mesafesini_artir
18,hafta_sonu,13.8,yok,1267,8,90,38.7,7,sehir_ici,kuru,yeterli,1,0.2231,0,"saglam_sabit_hareket,serit_degisiminden_kacin"
6,hafta_sonu,4.2,yok,871,10,110,47.2,8,kirsal,kuru,yeterli,0,0.5004,0,"saglam_sabit_hareket,serit_degisiminden_kacin;kavsakta_dikkat"
16,hafta_ici,3.7,yok,1166,2,30,27.9,8,sehir_ici,kuru,yeterli,0,0.1402,0,hizini_dusur;kavsakta_dikkat
19,hafta_sonu,13.4,hafif,483,9,120,30.2,7,sehir_ici,kuru,yeterli,1,0.9113,1,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac"
3,hafta_ici,25.4,yok,601,1,50,41.4,3,kirsal,islak,yeterli,0,0.5623,1,farlari_ac;takip_mesafesini_artir
4,hafta_sonu,14.6,yok,1101,2,90,76.3,2,kirsal,kuru,yeterli,0,0.1167,1,farlari_ac
22,hafta_ici,16.9,yok,549,2,50,33.2,1,sehir_ici,islak,yeterli,0,0.5917,0,farlari_ac;takip_mesafesini_artir
6,resmi_tatil,5.0,yok,880,6,110,70.2,6,otoyol,kuru,yeterli,0,0.3629,1,normal_surec
12,hafta_ici,24.8,yok,756,7,90,38.4,9,sehir_ici,kuru,yeterli,0,0.5403,0,kavsakta_dikkat
14,hafta_ici,3.5,yok,947,3,50,34.5,3,sehir_ici,kuru,yeterli,0,0.2098,0,normal_surec
10,hafta_ici,10.0,yok,1239,9,90,19.8,5,sehir_ici,kuru,yetersiz,0,0.3152,0,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac"
3,hafta_ici,21.3,yok,853,5,30,14.7,9,sehir_ici,kuru,yeterli,0,0.4046,0,farlari_ac;kavsakta_dikkat
12,hafta_ici,-5.4,hafif,656,5,110,57.8,9,sehir_ici,kuru,yeterli,0,0.7376,0,kavsakta_dikkat
6,hafta_ici,16.7,yok,1221,4,90,66.8,7,kirsal,islak,yeterli,0,0.2032,0,takip_mesafesini_artir
18,hafta_ici,4.6,hafif,490,9,70,23.8,4,sehir_ici,kuru,yeterli,1,0.8916,0,"saglam_sabit_hareket,serit_degisiminden_kacin"
21,hafta_ici,15.2,yok,822,8,70,31.2,2,sehir_ici,islak,yetersiz,0,0.7236,0,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac;takip_mesafesini_artir"
1,hafta_ici,11.5,yok,1410,4,30,23.1,2,kirsal,kuru,yeterli,0,0.051,0,farlari_ac
9,hafta_sonu,36.1,yok,976,4,90,61.1,4,sehir_ici,kuru,yeterli,0,0.2222,0,normal_surec
12,hafta_ici,11.1,yok,1152,2,70,50.5,1,sehir_ici,kuru,yeterli,0,0.0912,0,normal_surec
20,hafta_ici,33.4,siddetli,287,9,90,30.7,4,sehir_ici,kuru,yeterli,0,0.9529,1,"hizini_azalt;sis_farlarini_ac;saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac"
5,hafta_ici,20.9,hafif,384,3,120,75.3,6,sehir_ici,islak,yeterli,0,0.8935,1,farlari_ac;takip_mesafesini_artir
11,hafta_sonu,7.0,hafif,463,4,70,42.9,6,sehir_ici,kuru,yeterli,0,0.8046,1,normal_surec
11,hafta_ici,18.3,hafif,667,7,120,76.8,7,otoyol,kuru,yeterli,0,0.7476,1,normal_surec
19,resmi_tatil,12.0,yok,379,10,90,40.1,5,otoyol,kuru,yeterli,1,0.8795,1,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac"
10,hafta_sonu,17.4,yok,936,8,70,38.0,9,kirsal,kuru,yeterli,0,0.4129,0,"saglam_sabit_hareket,serit_degisiminden_kacin;kavsakta_dikkat"
22,hafta_ici,7.9,yok,740,8,70,22.5,2,sehir_ici,islak,yetersiz,0,0.7742,1,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac;takip_mesafesini_artir"
6,hafta_ici,31.9,siddetli,333,4,110,63.7,2,sehir_ici,kuru,yeterli,0,0.9012,0,hizini_azalt
0,hafta_sonu,24.3,hafif,662,7,70,32.3,4,sehir_ici,kuru,yeterli,0,0.7023,0,farlari_ac
0,hafta_sonu,15.3,yok,1357,10,50,17.9,4,sehir_ici,kuru,yeterli,0,0.1165,1,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac"
19,hafta_ici,32.3,hafif,592,1,50,31.3,4,sehir_ici,karlı,yeterli,1,0.8619,1,farlari_ac;takip_mesafesini_artir
12,hafta_ici,15.7,yok,965,6,110,55.0,1,sehir_ici,kuru,yeterli,0,0.2234,0,normal_surec
8,hafta_sonu,26.0,yok,908,6,90,46.0,4,sehir_ici,kuru,yeterli,0,0.3042,0,normal_surec
2,hafta_ici,15.4,yok,849,6,90,51.0,5,otoyol,kuru,yeterli,0,0.3691,0,farlari_ac
6,hafta_sonu,18.9,yok,1805,2,50,26.7,9,sehir_ici,islak,yeterli,0,0.0278,0,takip_mesafesini_artir;kavsakta_dikkat
5,hafta_ici,14.2,hafif,745,8,110,46.7,3,sehir_ici,kuru,yeterli,0,0.6438,0,"saglam_sabit_hareket,serit_degisiminden_kacin;farlari_ac"
7,hafta_ici,16.0,yok,680,5,120,57.3,3,sehir_ici,kuru,yeterli,0,0.4502,1,normal_surec
8,hafta_sonu,16.7,yok,1791,5,30,23.1,5,sehir_ici,kuru,yeterli,0,0.0187,0,normal_surec
4,hafta_ici,8.3,yok,878,2,50,31.3,10,sehir_ici,kuru,yeterli,0,0.3318,0,farlari_ac;kavsakta_dikkat
0,hafta_ici,11.0,yok,1096,4,110,63.5,6,sehir_ici,kuru,yeterli,0,0.1742,0,farlari_ac
18,hafta_ici,12.8,yok,1281,9,110,37.6,3,sehir_ici,kuru,yeterli,1,0.1838,0,"saglam_sabit_hareket,serit_degisiminden_kacin"
